Comment,Designator,Footprint,LCSC Part #
0.1uF,"C4,C5,C16,C18,C20,C21",SmartHome:C_0402,C60474
100pF,"C6,C13",SmartHome:C_0402,C77177
3pF,C7,SmartHome:C_0402,C88891
6.2pF,C8,SmartHome:C_0402,C41744
12pF,"C9,C14",SmartHome:C_0402,C76948
2.7pF,C10,SmartHome:C_0402,C76963
3.6pF,"C11,C12",SmartHome:C_0402,C913745
1uF,C15,SmartHome:C_0402,C29266
22uF,"C17,C19",SmartHome:C_0603,C86295
2.2nF 50V,C25,SmartHome:C_0402,C106861
XL-3806SURUBC,D1,SmartHome:LED-SMD_4P-L3.8-W1.0_XL-3806RGBC-4L,C5349972
BX-PZ2.0-2-3PUW,H1,SmartHome:HDR-SMD_6P-P2.00-V-M-R2-C3-LS6.5,C49326165
CC1312R1F3RGZR,IC1,SmartHome:CC1310_VQFN-48,C543014
TPD6E004RSER,IC2,SmartHome:TPD6E004RSER,C1973052
U.FL-R-SMT-1,JP1,SmartHome:RF-SMD_FRF05002-JSS103M,C88374
6.8nH,"L3,L4",SmartHome:L_Polarized_0402,C77110
7.5nH,"L5,L7",SmartHome:L_Polarized_0402,C98001
27nH,L6,SmartHome:L_Polarized_0402,C12669
BLM18HE152SN1D,L8,SmartHome:L0603,C82155
MLZ2012N6R8LT000,L11,SmartHome:IND-SMD_L2.0-W1.3,C82157
BC847B_C181140,"Q1,Q2,Q3",SmartHome:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TL,C181140
0,"R1,R2",SmartHome:R_0402,C106231
220,R4,SmartHome:R_0805,C843981
2k,R5,SmartHome:R_0402,C114762
10k,R6,SmartHome:R_0402,C60490
20k,R8,SmartHome:R_0402,C93942
2k,"R9,R10,R11,R12",SmartHome:R_0402,C60488
47.5k,R13,SmartHome:R_0402,C25896
1.2M,R14,SmartHome:R_0402,C60488
48.0000MHZ,U7,SmartHome:CRYSTAL-SMD_4P-L3.2-W2.5-BL,C6732653
FC-135R,X1,SmartHome:OSC-SMD_L3.2-W1.5,C94276
