Designator,Mid X,Mid Y,Layer,Rotation
C4,195.305mm,114.97mm,Top,90.0
C5,202.67mm,119.63mm,Top,270.0
C6,180.04mm,130.95mm,Top,180.0
C7,189.26mm,131.44mm,Top,270.0
C8,192.075mm,130.515mm,Top,90.0
C9,201.46mm,128.785mm,Top,90.0
C10,195.45mm,129.845mm,Top,0.0
C11,195.455mm,128.45mm,Top,90.0
C12,194.045mm,127.04mm,Top,0.0
C13,196.395mm,128.45mm,Top,270.0
C14,201.46mm,126.895mm,Top,270.0
C15,202.65mm,117.07mm,Top,90.0
C16,203.41mm,123.48mm,Top,0.0
C17,194.115mm,114.65mm,Top,90.0
C18,190.06mm,121.38mm,Top,270.0
C19,198.445mm,112.61mm,Top,90.0
C20,191.515mm,121.81mm,Top,180.0
C21,192.325mm,124.77mm,Top,270.0
C25,192.41mm,112.93mm,Top,0.0
D1,181.41mm,102.605mm,Top,0.0
H1,181.41mm,123.79mm,Bottom,0.0
IC1,197.5mm,120.735mm,Top,90.0
IC2,195.85mm,104.75mm,Top,180.0
JP1,175.8mm,127.13mm,Top,0.0
L3,190.68mm,130.98mm,Top,180.0
L4,193.47mm,130.97mm,Top,180.0
L5,194.505mm,128.45mm,Top,270.0
L6,195.005mm,126.08mm,Top,180.0
L7,195.905mm,127.04mm,Top,0.0
L8,188.07mm,120.77mm,Top,0.0
L11,196.755mm,114.26mm,Top,90.0
Q1,177.09mm,100.05mm,Top,270.0
Q2,186.63mm,100.05mm,Top,270.0
Q3,176.28mm,120.81mm,Top,270.0
R1,175.39mm,130.93mm,Top,0.0
R2,178.18mm,130.95mm,Top,0.0
R4,180.31mm,122.06mm,Top,0.0
R5,179.24mm,119.32mm,Top,0.0
R6,179.25mm,120.32mm,Top,0.0
R8,183.08mm,99.82mm,Top,270.0
R9,183.5mm,101.3mm,Top,180.0
R10,189.14mm,99.23mm,Top,270.0
R11,179.72mm,98.37mm,Top,90.0
R12,180.4mm,101.3mm,Top,0.0
R13,192.38mm,114.26mm,Top,180.0
R14,192.25mm,117.51mm,Top,180.0
U7,188.87mm,125.66mm,Top,180.0
X1,199.75mm,127.825mm,Top,90.0
